                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3505,                 3.6127,                 1.5821,                0.01048,                0.88901,                0.21835,                0.12658,                 1.1461,                 3.1182,                 1.6756,              0.0002727,              0.0002727,              0.0002727
                      2,                 1.2453,                 2.7794,                 1.5271,                 0.4332,                0.30363,                0.31905,                0.17767,                 1.4896,                 2.4143,                  2.083,             0.00054534,             0.00054534,             0.00054534
                      3,                 1.2402,                 2.4632,                 1.5285,                0.48134,                0.31328,                0.24892,                 0.1252,                 1.6213,                 5.9996,                 2.3479,             0.00080868,             0.00080868,             0.00080868
                      4,                 1.2974,                 2.2488,                  1.514,                0.50366,                0.36604,                0.35016,                0.17648,                 1.7316,                 2.3737,                 2.2868,               0.000864,               0.000864,               0.000864
                      5,                 1.2327,                 2.1398,                 1.4813,                0.66113,                0.24653,                0.29027,                0.14944,                 1.5451,                 2.7435,                 2.0467,               0.000864,               0.000864,               0.000864
                      6,                 1.2604,                  2.037,                 1.4896,                0.32073,                0.33175,                0.21964,                0.10052,                 1.8287,                 2.6476,                 2.3896,             0.00084901,             0.00084901,             0.00084901
                      7,                 1.2164,                 1.9715,                 1.4764,                0.53849,                0.32488,                0.31857,                0.14331,                 1.8895,                 2.6694,                 2.4642,             0.00083401,             0.00083401,             0.00083401
                      8,                 1.2355,                 1.8601,                 1.4879,                0.54359,                0.51009,                0.45116,                0.22497,                 1.5772,                 2.0941,                 1.9863,             0.00081901,             0.00081901,             0.00081901
                      9,                 1.2377,                 1.8337,                 1.4569,                0.53514,                0.47455,                0.45738,                0.23462,                 1.5674,                 1.9831,                 1.9542,             0.00080401,             0.00080401,             0.00080401
                     10,                 1.2821,                 1.8228,                 1.4607,                 0.6403,                  0.493,                0.51875,                0.30441,                 1.3585,                 2.0811,                 1.8536,             0.00078901,             0.00078901,             0.00078901
                     11,                 1.1213,                 1.7195,                 1.3856,                0.59905,                0.54646,                 0.5144,                0.29903,                 1.4308,                 1.7389,                 1.9177,             0.00077401,             0.00077401,             0.00077401
                     12,                 1.1939,                 1.6829,                 1.4273,                0.62565,                0.55652,                 0.5554,                0.32203,                 1.3789,                 1.7224,                 1.8956,             0.00075902,             0.00075902,             0.00075902
                     13,                 1.1172,                  1.628,                 1.3892,                0.62252,                0.55952,                0.62125,                 0.3677,                 1.4647,                  1.707,                 1.9097,             0.00074402,             0.00074402,             0.00074402
                     14,                 1.2381,                 1.6391,                 1.4042,                0.71455,                0.60733,                0.63209,                0.34496,                  1.385,                  1.794,                 1.8212,             0.00072902,             0.00072902,             0.00072902
                     15,                 1.1092,                  1.565,                 1.3809,                0.72191,                0.56651,                0.62688,                0.38721,                 1.3238,                 1.7146,                 1.7418,             0.00071402,             0.00071402,             0.00071402
                     16,                 1.1519,                 1.4811,                 1.3741,                0.63461,                0.52244,                0.53384,                0.30925,                 1.4254,                 1.8613,                 1.8547,             0.00069902,             0.00069902,             0.00069902
